day,steps,id,recovery_group
0,338.4817634418583,0,0
1,792.7721249649511,0,0
2,701.4835081494601,0,0
3,-409.96154114599227,0,0
4,196.58992424743914,0,0
5,76.18882149556258,0,0
6,-352.74288174780094,0,0
7,87.76676201861494,0,0
8,95.96722476932581,0,0
9,142.72460930549596,0,0
10,965.62883043728,0,0
11,-438.430136678562,0,0
12,-772.3320887926551,0,0
13,247.2340254145078,0,0
14,-499.8226739451787,0,0
15,-87.33356211237144,0,0
16,-46.474134095991246,0,0
17,-216.02949616267898,0,0
18,575.7681130868541,0,0
19,531.1969034546763,0,0
20,114.65871703335299,0,0
21,-550.3276886585485,0,0
22,-118.67551324555615,0,0
23,-500.94621419806555,0,0
24,-364.4270278424418,0,0
25,73.81762188285629,0,0
26,-84.70086220990483,0,0
27,449.45448448489526,0,0
28,-803.5268319927451,0,0
29,-38.01963471589227,0,0
30,587.1201515836476,0,0
31,273.4488955360112,0,0
32,-444.39428452370976,0,0
33,498.59893155842485,0,0
34,395.4728520988969,0,0
35,514.8402164795787,0,0
36,932.8754928551858,0,0
37,-8.78548440171074,0,0
38,-305.8554507921764,0,0
39,-369.029480920658,0,0
40,203.01501522349034,0,0
41,-130.07129674130456,0,0
42,-39.39046114203662,0,0
43,-38.777981078351594,0,0
44,-33.586862972636176,0,0
45,683.5371595841139,0,0
46,-288.21260814623,0,0
47,-72.41020397288602,0,0
48,50.47858065928692,0,0
49,-54.261270204980576,0,0
50,78.66950430073861,0,0
51,1330.1886806059201,0,0
52,-81.7818299243834,0,0
53,-284.6152509791457,0,0
54,-219.5165758222352,0,0
55,152.44659919478113,0,0
56,239.71448797896022,0,0
57,39.35301892614302,0,0
58,213.9305048219813,0,0
59,-40.224384731232504,0,0
60,-186.6360763762861,0,0
61,-446.9832312986973,0,0
62,-261.3548363765767,0,0
63,-392.10919345297594,0,0
64,1210.677139572385,0,0
65,464.33729602006264,0,0
66,491.41282767211,0,0
67,447.61209205055764,0,0
68,629.2049889177182,0,0
69,464.0205293264167,0,0
70,232.24197915661458,0,0
71,944.3753346578754,0,0
72,125.32882639773922,0,0
73,926.2195508207524,0,0
74,413.93087962090857,0,0
75,-123.53690537077853,0,0
76,437.5728822546146,0,0
77,319.05040784106166,0,0
78,670.894575572006,0,0
79,224.58376604477888,0,0
80,1226.637958955113,0,0
81,1006.0770738839085,0,0
82,914.2066500102483,0,0
83,-28.17867267511508,0,0
84,1341.0214723059694,0,0
85,391.2310469912614,0,0
86,764.9088359851322,0,0
87,647.2458450722515,0,0
88,1309.3181378794052,0,0
89,593.0951779818934,0,0
90,1318.8069250318065,0,0
91,1135.6307464849724,0,0
92,824.8911527214302,0,0
93,1265.9131148550105,0,0
94,1323.3043718204958,0,0
95,1883.4924539727865,0,0
96,2263.0834047374433,0,0
97,1784.4799242114595,0,0
98,1729.335262456037,0,0
99,2064.4179523177704,0,0
100,1996.0785768342785,0,0
101,2771.9565097694167,0,0
102,2684.6153994732686,0,0
103,2568.1043143039456,0,0
104,2349.0010760115756,0,0
105,3309.7213063043473,0,0
106,3434.7529698842523,0,0
107,3288.330606586959,0,0
108,3735.8801996755556,0,0
109,3912.220076464034,0,0
110,3532.6619622767494,0,0
111,4061.289867131178,0,0
112,3283.905285206978,0,0
113,4267.1625023529205,0,0
114,4302.489107884127,0,0
115,4570.389427802675,0,0
116,4606.320949362407,0,0
117,5536.43348569544,0,0
118,4446.914593174532,0,0
119,4539.379440502499,0,0
120,5848.806159958229,0,0
121,6025.9268756370575,0,0
122,5941.114246972358,0,0
123,5873.256289915522,0,0
124,5705.180394782021,0,0
125,5785.684965833173,0,0
126,6565.746719672191,0,0
127,6207.680804840383,0,0
128,7028.296638065497,0,0
129,6967.713434829935,0,0
130,7998.219417101109,0,0
131,6595.018751841947,0,0
132,6866.678191351219,0,0
133,7814.441885916436,0,0
134,7129.276791597484,0,0
135,8298.690306236658,0,0
136,7693.884499045671,0,0
137,8210.172551677204,0,0
138,8364.654734467602,0,0
139,8579.108339121469,0,0
140,8025.2667262889145,0,0
141,8727.969311868532,0,0
142,9167.95576748024,0,0
143,9109.315032407641,0,0
144,8351.509285607794,0,0
145,9291.728858517075,0,0
146,8926.139700497655,0,0
147,9133.433296487909,0,0
148,9994.726416591857,0,0
149,9597.489808183931,0,0
150,9836.916248711057,0,0
151,9271.93511773275,0,0
152,9669.54897894274,0,0
153,10076.44397165461,0,0
154,10025.568944513703,0,0
155,9552.623614661512,0,0
156,9722.068300898789,0,0
157,10156.964313980867,0,0
158,9716.986160194352,0,0
159,9160.090594206527,0,0
160,9623.16851423663,0,0
161,9849.393975844117,0,0
162,10102.18001302433,0,0
163,9903.748941692596,0,0
164,9603.908569609559,0,0
165,10041.533962554533,0,0
166,10039.017603147975,0,0
167,10261.58104133235,0,0
168,10810.334966103415,0,0
169,9765.098450742984,0,0
170,10389.717543577417,0,0
171,9852.854518093243,0,0
172,10511.205335304772,0,0
173,10024.208709755792,0,0
174,10037.944294880062,0,0
175,10465.336945771816,0,0
176,9581.283809584786,0,0
177,9671.835469915366,0,0
178,9650.042604650533,0,0
179,9794.423392513308,0,0
180,10057.358861637833,0,0
181,10137.140387802601,0,0
182,9754.711569906729,0,0
183,10336.49310542197,0,0
184,10339.123786316119,0,0
185,9488.923297034105,0,0
186,10326.051072445338,0,0
187,9818.181673078034,0,0
188,9874.839472115747,0,0
189,9702.268313605873,0,0
190,10342.32875093222,0,0
191,10311.024359822404,0,0
192,10824.734590710179,0,0
193,10405.789114298572,0,0
194,10363.82391638548,0,0
195,10702.051169071437,0,0
196,10524.426866046279,0,0
197,9249.483521869039,0,0
198,10655.921780254634,0,0
199,9890.076115200363,0,0
200,10121.71808898127,0,0
201,10229.071655269532,0,0
202,10183.015212110571,0,0
203,9397.502924184468,0,0
204,9853.558156936431,0,0
205,10826.173299214399,0,0
206,10139.164201300637,0,0
207,10310.51766145533,0,0
208,10346.33799434357,0,0
209,10136.417869122743,0,0
210,10119.173590230495,0,0
211,9989.553931885475,0,0
212,9856.719454203823,0,0
213,10740.808191536109,0,0
214,9583.92500673096,0,0
215,9901.580104731407,0,0
216,9588.522446333513,0,0
217,10058.480392030768,0,0
218,10886.95017677431,0,0
219,10283.171195381985,0,0
220,10562.302008482724,0,0
221,9971.662465429928,0,0
222,10089.70428884819,0,0
223,10379.959696233484,0,0
224,10062.414446185818,0,0
225,10842.923687515568,0,0
226,11015.82645437006,0,0
227,9818.026476409068,0,0
228,10656.310747564718,0,0
